,YEAR,STATE_AB,STATE,INFANT_MORTALITY_RATE,INFANT_DEATHS,POVERTY_RATE,MEDIAN_INCOME,UNINSURED_RATE,GRADUATION_RATE,VIOLENT_CRIME_RATE
50,2019,AL,Alabama,7.71,452,0.155,56200.0,0.097,0.917,504.6694506
51,2019,AK,Alaska,4.99,49,0.107,78394.0,0.122,0.804,865.0455355
52,2019,AZ,Arizona,5.43,431,0.134,70674.0,0.113,0.778,447.1160446
53,2019,AR,Arkansas,7.0,256,0.165,54539.0,0.091,0.876,580.8370449
54,2019,CA,California,4.23,1889,0.118,78105.0,0.077,0.845,442.0678636
55,2019,CO,Colorado,4.85,305,0.094,72499.0,0.08,0.811,384.6323495
56,2019,CT,Connecticut,4.38,150,0.102,87291.0,0.059,0.885,184.6034601
57,2019,DE,Delaware,6.44,68,0.109,74194.0,0.066,0.89,422.661539
58,2019,FL,Florida,6.1,1342,0.127,58368.0,0.132,0.872,378.2374288
59,2019,GA,Georgia,7.02,887,0.134,56628.0,0.134,0.82,326.1755247
60,2019,HI,Hawaii,5.12,86,0.098,88006.0,0.042,0.852,264.5493301
61,2019,ID,Idaho,4.31,95,0.111,65988.0,0.108,0.808,232.6361329
62,2019,IL,Illinois,5.67,794,0.114,74399.0,0.074,0.862,415.2595674
63,2019,IN,Indiana,6.54,529,0.122,66693.0,0.087,0.872,371.504425
64,2019,IA,Iowa,5.02,189,0.114,66054.0,0.05,0.916,287.5684106
65,2019,KS,Kansas,5.42,192,0.115,73151.0,0.092,0.872,405.5091009
66,2019,KY,Kentucky,4.9,260,0.161,55662.0,0.064,0.906,220.7343128
67,2019,LA,Louisiana,7.97,470,0.188,51707.0,0.089,0.801,559.6909592
68,2019,ME,Maine,5.43,64,0.106,66546.0,0.08,0.874,116.0673815
69,2019,MD,Maryland,5.84,410,0.091,95572.0,0.06,0.869,454.3552271
70,2019,MA,Massachusetts,3.73,258,0.094,87707.0,0.03,0.88,328.6785287
71,2019,MI,Michigan,6.38,688,0.131,64119.0,0.058,0.814,438.5968866
72,2019,MN,Minnesota,4.53,299,0.09,81426.0,0.049,0.837,237.4977682
73,2019,MS,Mississippi,8.71,319,0.196,44787.0,0.13,0.85,261.1956711
74,2019,MO,Missouri,6.14,443,0.126,60597.0,0.1,0.897,499.6356145
75,2019,MT,Montana,4.78,53,0.131,60195.0,0.083,0.866,417.8958867
76,2019,NE,Nebraska,4.93,122,0.103,73071.0,0.083,0.884,304.6201149
77,2019,NV,Nevada,5.67,199,0.13,70906.0,0.114,0.841,496.122165
78,2019,NH,New Hampshire,3.21,38,0.075,86900.0,0.063,0.884,158.1442449
79,2019,NJ,New Jersey,4.22,420,0.092,87726.0,0.079,0.906,206.742398
80,2019,NM,New Mexico,5.66,130,0.178,53113.0,0.1,0.751,824.0483818
81,2019,NY,New York,4.33,959,0.129,71855.0,0.052,0.828,360.990223
82,2019,NC,North Carolina,6.78,805,0.135,61159.0,0.113,0.865,378.7405546
