YEAR,STATE_AB,STATE,INFANT_MORTALITY_RATE,INFANT_DEATHS,POVERTY_RATE,MEDIAN_INCOME,UNINSURED_RATE,GRADUATION_RATE,VIOLENT_CRIME_RATE
2020,AL,Alabama,6.99,403,0.149,54689,,,453.5579572
2020,AK,Alaska,5.07,48,0.096,74746,,,837.8490012
2020,AZ,Arizona,5.19,399,0.128,67088,,,484.8141207
2020,AR,Arkansas,7.38,260,0.152,50777,,,671.9304463
2020,CA,California,3.92,1648,0.115,77652,,,442.0485044
2020,CO,Colorado,4.8,295,0.09,83777,,,423.0576583
2020,CT,Connecticut,4.33,145,0.097,79432,,,181.5852995
2020,DE,Delaware,5.1,53,0.109,70022,,,431.8971554
2020,FL,Florida,5.8,1217,0.124,57763,,,383.5954686
2020,GA,Georgia,6.28,769,0.14,59265,,,400.0927356
2020,HI,Hawaii,4.88,77,0.089,80825,,,254.1566987
2020,ID,Idaho,5.06,109,0.101,66725,,,242.5950223
2020,IL,Illinois,5.5,733,0.11,74334,,,425.9135827
2020,IN,Indiana,6.75,531,0.116,66805,,,357.6782844
2020,IA,Iowa,4.43,160,0.102,68816,,,303.4871147
2020,KS,Kansas,6.6,227,0.106,73082,,,425.0456019
2020,KY,Kentucky,6.43,332,0.149,56755,,,259.0875517
2020,LA,Louisiana,7.59,435,0.178,51186,,,639.4395389
2020,ME,Maine,6.33,73,0.106,63693,,,108.5812519
2020,MD,Maryland,5.73,393,0.09,94789,,,399.8644606
2020,MA,Massachusetts,3.94,262,0.094,87812,,,308.8093346
2020,MI,Michigan,6.8,708,0.126,64392,,,478.0087001
2020,MN,Minnesota,4.13,262,0.083,78753,,,277.4801311
2020,MS,Mississippi,8.12,288,0.187,45134,,,291.1568276
2020,MO,Missouri,5.89,408,0.121,62178,,,542.7089246
2020,MT,Montana,5,54,0.124,56741,,,469.8415754
2020,NE,Nebraska,5.68,138,0.092,72248,,,334.0813563
2020,NV,Nevada,4.64,156,0.125,61164,,,460.2870573
2020,NH,New Hampshire,4.41,52,0.07,88894,,,146.3834148
2020,NJ,New Jersey,4,392,0.094,85549,,,195.3645035
2020,NM,New Mexico,5.3,116,0.168,50906,,,778.2771745
2020,NY,New York,4.08,855,0.127,68659,,,363.7576398
2020,NC,North Carolina,6.77,790,0.129,60430,,,419.3165002
2020,ND,North Dakota,5.47,55,0.102,64115,,,329.0174296
2020,OH,Ohio,6.7,865,0.126,60379,,,308.7601983
2020,OK,Oklahoma,5.9,281,0.143,52471,,,458.578124
2020,OR,Oregon,4.22,168,0.11,76855,,,291.8773917
2020,PA,Pennsylvania,5.58,729,0.109,70789,,,389.5174108
2020,RI,Rhode Island,3.96,40,0.106,80175,,,230.8147097
2020,SC,South Carolina,6.64,370,0.138,60341,,,530.6781857
2020,SD,South Dakota,7.3,80,0.116,70189,,,501.3906983
2020,TN,Tennessee,6.38,502,0.136,54975,,,672.7038869
2020,TX,Texas,5.29,1946,0.134,68404,,,446.459848
2020,UT,Utah,5.43,248,0.073,83993,,,260.6558583
2020,VT,Vermont,0,18,0.094,67257,,,173.4186577
2020,VA,Virginia,5.76,546,0.092,82214,,,208.6591996
2020,WA,Washington,4.51,375,0.095,81358,,,293.6982005
2020,WV,West Virginia,7.33,127,0.158,51970,,,355.8968101
2020,WI,Wisconsin,5.94,360,0.1,67405,,,323.3690318
2020,WY,Wyoming,5.22,32,0.092,65450,,,234.232254
2019,AL,Alabama,7.71,452,0.155,56200,0.097,0.917,504.6694506
2019,AK,Alaska,4.99,49,0.107,78394,0.122,0.804,865.0455355
2019,AZ,Arizona,5.43,431,0.134,70674,0.113,0.778,447.1160446
2019,AR,Arkansas,7,256,0.165,54539,0.091,0.876,580.8370449
2019,CA,California,4.23,1889,0.118,78105,0.077,0.845,442.0678636
2019,CO,Colorado,4.85,305,0.094,72499,0.08,0.811,384.6323495
2019,CT,Connecticut,4.38,150,0.102,87291,0.059,0.885,184.6034601
2019,DE,Delaware,6.44,68,0.109,74194,0.066,0.89,422.661539
2019,FL,Florida,6.1,1342,0.127,58368,0.132,0.872,378.2374288
2019,GA,Georgia,7.02,887,0.134,56628,0.134,0.82,326.1755247
2019,HI,Hawaii,5.12,86,0.098,88006,0.042,0.852,264.5493301
2019,ID,Idaho,4.31,95,0.111,65988,0.108,0.808,232.6361329
2019,IL,Illinois,5.67,794,0.114,74399,0.074,0.862,415.2595674
2019,IN,Indiana,6.54,529,0.122,66693,0.087,0.872,371.504425
2019,IA,Iowa,5.02,189,0.114,66054,0.05,0.916,287.5684106
2019,KS,Kansas,5.42,192,0.115,73151,0.092,0.872,405.5091009
2019,KY,Kentucky,4.9,260,0.161,55662,0.064,0.906,220.7343128
2019,LA,Louisiana,7.97,470,0.188,51707,0.089,0.801,559.6909592
2019,ME,Maine,5.43,64,0.106,66546,0.08,0.874,116.0673815
2019,MD,Maryland,5.84,410,0.091,95572,0.06,0.869,454.3552271
2019,MA,Massachusetts,3.73,258,0.094,87707,0.03,0.88,328.6785287
2019,MI,Michigan,6.38,688,0.131,64119,0.058,0.814,438.5968866
2019,MN,Minnesota,4.53,299,0.09,81426,0.049,0.837,237.4977682
2019,MS,Mississippi,8.71,319,0.196,44787,0.13,0.85,261.1956711
2019,MO,Missouri,6.14,443,0.126,60597,0.1,0.897,499.6356145
2019,MT,Montana,4.78,53,0.131,60195,0.083,0.866,417.8958867
2019,NE,Nebraska,4.93,122,0.103,73071,0.083,0.884,304.6201149
2019,NV,Nevada,5.67,199,0.13,70906,0.114,0.841,496.122165
2019,NH,New Hampshire,3.21,38,0.075,86900,0.063,0.884,158.1442449
2019,NJ,New Jersey,4.22,420,0.092,87726,0.079,0.906,206.742398
2019,NM,New Mexico,5.66,130,0.178,53113,0.1,0.751,824.0483818
2019,NY,New York,4.33,959,0.129,71855,0.052,0.828,360.990223
2019,NC,North Carolina,6.78,805,0.135,61159,0.113,0.865,378.7405546
2019,ND,North Dakota,7.46,78,0.11,70031,0.069,0.883,301.4177897
2019,OH,Ohio,6.89,927,0.13,64663,0.066,0.82,295.9687025
2019,OK,Oklahoma,7,344,0.155,59397,0.143,0.849,436.2639105
2019,OR,Oregon,4.85,203,0.115,74413,0.072,0.8,293.6826216
2019,PA,Pennsylvania,5.93,796,0.121,70582,0.058,0.865,305.9642002
2019,RI,Rhode Island,5.9,60,0.107,70151,0.041,0.839,222.7455635
2019,SC,South Carolina,6.89,393,0.138,62028,0.108,0.811,510.0527328
2019,SD,South Dakota,6.99,80,0.11,64255,0.102,0.841,397.1246507
2019,TN,Tennessee,6.96,560,0.139,56627,0.101,0.905,598.9173282
2019,TX,Texas,5.48,2069,0.136,67444,0.184,0.9,421.7886255
2019,UT,Utah,5.27,249,0.094,84523,0.097,0.874,236.8745792
2019,VT,Vermont,Unreliable,15,0.102,74305,0.045,0.845,207.1962644
2019,VA,Virginia,5.81,566,0.099,81313,0.079,0.875,209.3812035
2019,WA,Washington,4.26,362,0.097,82454,0.066,0.811,303.3218703
2019,WV,West Virginia,6.12,111,0.158,53706,0.067,0.913,318.8947803
2019,WI,Wisconsin,5.86,371,0.097,67355,0.057,0.901,297.1029161
2019,WY,Wyoming,7.16,47,0.1,65134,0.123,0.821,214.9570086
2018,AL,Alabama,6.94,401,0.168,49936,0.1,0.9,523.0906027
2018,AK,Alaska,6.25,63,0.107,68734,0.126,0.785,891.6681063
2018,AZ,Arizona,5.71,461,0.139,62283,0.106,0.787,475.73185
2018,AR,Arkansas,7.51,278,0.174,49781,0.082,0.892,561.6445047
2018,CA,California,4.21,1917,0.128,70489,0.072,0.83,447.5339411
2018,CO,Colorado,4.75,299,0.098,73034,0.075,0.808,401.5084813
2018,CT,Connecticut,4.2,146,0.104,72812,0.053,0.884,209.5746349
2018,DE,Delaware,5.93,63,0.118,65012,0.057,0.869,422.4845906
2018,FL,Florida,6.04,1339,0.134,54644,0.13,0.863,385.8914363
2018,GA,Georgia,7.05,889,0.144,55821,0.137,0.816,338.8693377
2018,HI,Hawaii,6.78,115,0.095,80108,0.041,0.845,254.9639482
2018,ID,Idaho,5.05,108,0.12,58728,0.111,0.807,239.6980125
2018,IL,Illinois,6.55,949,0.119,70145,0.07,0.865,411.4022471
2018,IN,Indiana,6.72,549,0.131,59892,0.083,0.881,373.5196954
2018,IA,Iowa,4.98,188,0.112,68718,0.047,0.914,263.702996
2018,KS,Kansas,6.37,231,0.122,63938,0.088,0.872,441.7524599
2018,KY,Kentucky,6.05,326,0.167,54555,0.056,0.903,217.8584774
2018,LA,Louisiana,7.65,456,0.187,49973,0.08,0.814,543.2550234
2018,ME,Maine,5.52,68,0.112,58663,0.08,0.867,112.0191299
2018,MD,Maryland,6.02,428,0.088,86223,0.06,0.871,469.36596
2018,MA,Massachusetts,4.18,289,0.1,86345,0.028,0.878,340.33477
2018,MI,Michigan,6.22,684,0.14,60449,0.054,0.806,452.4807113
2018,MN,Minnesota,5.06,341,0.097,71817,0.044,0.832,221.235268
2018,MS,Mississippi,8.41,311,0.2,42781,0.121,0.84,265.9827844
2018,MO,Missouri,6.35,465,0.132,61726,0.094,0.892,501.4356487
2018,MT,Montana,4.78,55,0.121,57679,0.082,0.864,380.8931189
2018,NE,Nebraska,5.77,147,0.115,67575,0.083,0.887,289.9334965
2018,NV,Nevada,6.14,219,0.13,61864,0.112,0.832,552.1346951
2018,NH,New Hampshire,3.5,42,0.072,81346,0.057,0.888,177.6181874
2018,NJ,New Jersey,3.8,385,0.094,74176,0.074,0.909,208.5972074
2018,NM,New Mexico,5.69,131,0.201,48283,0.095,0.739,842.7703189
2018,NY,New York,4.33,979,0.138,67274,0.054,0.823,350.7975868
2018,NC,North Carolina,6.75,803,0.141,53369,0.107,0.863,356.206621
2018,ND,North Dakota,5.64,60,0.102,66505,0.073,0.881,284.1388772
2018,OH,Ohio,6.94,938,0.139,61633,0.065,0.821,294.835514
2018,OK,Oklahoma,7.09,353,0.154,54434,0.142,0.818,474.6163617
2018,OR,Oregon,4.22,178,0.122,69165,0.071,0.787,290.4431159
2018,PA,Pennsylvania,5.94,806,0.122,64524,0.055,0.859,305.4389364
2018,RI,Rhode Island,4.95,52,0.126,62266,0.041,0.84,219.7891498
2018,SC,South Carolina,7.11,403,0.151,57444,0.105,0.81,500.830423
2018,SD,South Dakota,5.89,70,0.133,59463,0.098,0.841,396.3819196
